                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.68695,                0.51993,                0.93363,                0.98047,                0.94643,                0.98362,                0.84585,                0.55802,                0.39672,                0.83251,               0.001585,               0.001585,               0.001585
                     87,                0.67987,                0.51645,                0.92523,                 0.9891,                0.94643,                0.98439,                0.84992,                0.55911,                 0.3962,                0.83706,               0.001486,               0.001486,               0.001486
                     88,                0.66294,                0.49718,                0.91995,                0.95329,                0.98214,                 0.9845,                0.84984,                 0.5393,                0.39172,                0.83253,               0.001387,               0.001387,               0.001387
                     89,                 0.6896,                0.51084,                0.93212,                0.98169,                0.96429,                 0.9845,                0.85892,                0.53849,                0.38473,                0.82907,               0.001288,               0.001288,               0.001288
                     90,                0.63965,                0.47948,                 0.9009,                0.99026,                0.94643,                0.98221,                0.84562,                0.54924,                0.39843,                0.83474,               0.001189,               0.001189,               0.001189
                     91,                0.60711,                0.45113,                0.88739,                0.98882,                0.94643,                0.98135,                0.84751,                0.54612,                 0.4005,                0.83494,                0.00109,                0.00109,                0.00109
                     92,                0.60745,                0.43931,                 0.8883,                0.98768,                0.94643,                0.98024,                0.84643,                0.53926,                0.40225,                0.83647,               0.000991,               0.000991,               0.000991
                     93,                0.59633,                0.43916,                0.87951,                0.99065,                0.94622,                0.97939,                0.84592,                0.53001,                0.39765,                0.83012,               0.000892,               0.000892,               0.000892
                     94,                0.56401,                0.41475,                0.87498,                0.98466,                0.94643,                0.98268,                  0.849,                0.52864,                0.38002,                0.82123,               0.000793,               0.000793,               0.000793
                     95,                0.56185,                0.41369,                0.87589,                0.97988,                0.96429,                0.98248,                0.85984,                0.51029,                0.37646,                0.81734,               0.000694,               0.000694,               0.000694
                     96,                0.57192,                0.40927,                0.88036,                0.98388,                0.94643,                0.98421,                0.85782,                0.52105,                0.36766,                0.82333,               0.000595,               0.000595,               0.000595
                     97,                 0.5543,                0.40753,                0.87334,                0.98804,                0.94643,                 0.9835,                0.85844,                0.49979,                0.36351,                0.81998,               0.000496,               0.000496,               0.000496
                     98,                0.55316,                0.41409,                0.87424,                0.98816,                0.94643,                0.98335,                 0.8665,                0.51383,                0.36633,                0.82048,               0.000397,               0.000397,               0.000397
                     99,                0.54066,                0.40501,                0.86549,                0.98945,                0.94643,                0.98339,                0.87015,                0.49795,                0.36487,                0.81786,               0.000298,               0.000298,               0.000298
